[2020-03-27 11:35:01,149] INFO                                                      server               Чтение списка объектов из БД
[2020-03-27 11:35:47,124] INFO                                                      server               Чтение списка объектов из БД
[2020-03-27 11:40:16,923] INFO                                                      server               Чтение списка объектов из БД
[2020-03-27 11:40:19,648] INFO                                                      server               Чтение списка объектов из БД завершено. Считано 942
[2020-03-27 11:40:19,678] INFO                                                      server               Чтение номера последней заявки в прошлом году
[2020-03-27 11:40:20,645] INFO                                                      server               Присвоен номер 280
[2020-03-27 11:40:20,652] INFO                                                      server               Присвоен номер 1261
[2020-03-27 11:40:20,659] INFO                                                      server               Присвоен номер 1881
[2020-03-27 11:40:20,667] INFO                                                      server               Присвоен номер 2389
[2020-03-27 11:40:20,676] INFO                                                      server               Присвоен номер 2987
[2020-03-27 11:40:20,683] INFO                                                      server               Присвоен номер 3535
[2020-03-27 11:40:20,691] INFO                                                      server               Присвоен номер 4106
[2020-03-27 11:40:20,699] INFO                                                      server               Присвоен номер 4818
[2020-03-27 11:40:20,707] INFO                                                      server               Присвоен номер 5705
[2020-03-27 11:40:20,710] INFO                                                      server               Чтение номера последней заявки  на кран в прошлом году
[2020-03-27 11:40:20,998] INFO                                                      server               Присвоен номер 1578
[2020-03-27 11:40:21,005] INFO                                                      server               Присвоен номер 5282
[2020-03-27 11:40:23,770] INFO                                                      client               casdc1.corp.gidroogk.com
[2020-03-27 11:41:10,790] INFO                                                      server               Чтение списка объектов из БД
[2020-03-27 11:41:11,689] INFO                                                      server               Чтение списка объектов из БД завершено. Считано 942
[2020-03-27 11:41:11,692] INFO                                                      server               Чтение номера последней заявки в прошлом году
[2020-03-27 11:41:11,741] INFO                                                      server               Присвоен номер 280
[2020-03-27 11:41:11,748] INFO                                                      server               Присвоен номер 1261
[2020-03-27 11:41:11,755] INFO                                                      server               Присвоен номер 1881
[2020-03-27 11:41:11,762] INFO                                                      server               Присвоен номер 2389
[2020-03-27 11:41:11,769] INFO                                                      server               Присвоен номер 2987
[2020-03-27 11:41:11,776] INFO                                                      server               Присвоен номер 3535
[2020-03-27 11:41:11,783] INFO                                                      server               Присвоен номер 4106
[2020-03-27 11:41:11,790] INFO                                                      server               Присвоен номер 4818
[2020-03-27 11:41:11,798] INFO                                                      server               Присвоен номер 5705
[2020-03-27 11:41:11,800] INFO                                                      server               Чтение номера последней заявки  на кран в прошлом году
[2020-03-27 11:41:11,864] INFO                                                      server               Присвоен номер 1578
[2020-03-27 11:41:11,872] INFO                                                      server               Присвоен номер 5282
[2020-03-27 11:41:11,880] INFO                                                      client               casdc1.corp.gidroogk.com
[2020-03-27 11:42:26,460] INFO                                                      server               Чтение списка объектов из БД
[2020-03-27 11:42:27,509] INFO                                                      server               Чтение списка объектов из БД завершено. Считано 942
[2020-03-27 11:42:27,515] INFO                                                      server               Чтение номера последней заявки в прошлом году
[2020-03-27 11:42:27,594] INFO                                                      server               Присвоен номер 280
[2020-03-27 11:42:27,603] INFO                                                      server               Присвоен номер 1261
[2020-03-27 11:42:27,611] INFO                                                      server               Присвоен номер 1881
[2020-03-27 11:42:27,623] INFO                                                      server               Присвоен номер 2389
[2020-03-27 11:42:27,633] INFO                                                      server               Присвоен номер 2987
[2020-03-27 11:42:27,647] INFO                                                      server               Присвоен номер 3535
[2020-03-27 11:42:27,655] INFO                                                      server               Присвоен номер 4106
[2020-03-27 11:42:27,662] INFO                                                      server               Присвоен номер 4818
[2020-03-27 11:42:27,670] INFO                                                      server               Присвоен номер 5705
[2020-03-27 11:42:27,672] INFO                                                      server               Чтение номера последней заявки  на кран в прошлом году
[2020-03-27 11:42:27,764] INFO                                                      server               Присвоен номер 1578
[2020-03-27 11:42:27,771] INFO                                                      server               Присвоен номер 5282
[2020-03-27 11:42:27,775] INFO                                                      client               casdc1.corp.gidroogk.com
[2020-03-27 11:43:03,893] INFO                                                      server               Пользователь авторизовался в системе: Name: desktop-fngujgt\rj128x, FullName: desktop-fngujgt\rj128x
[2020-03-27 11:43:03,931] INFO                                                      service              Получение списка пользователей (LoadUsers)
