[2020-03-31 08:14:57,415] INFO                                                      server               Чтение списка объектов из БД
[2020-03-31 08:15:06,550] INFO                                                      server               Чтение списка объектов из БД завершено. Считано 942
[2020-03-31 08:15:06,553] INFO                                                      server               Чтение номера последней заявки в прошлом году
[2020-03-31 08:15:07,558] INFO                                                      server               Присвоен номер 280
[2020-03-31 08:15:07,564] INFO                                                      server               Присвоен номер 1261
[2020-03-31 08:15:07,581] INFO                                                      server               Присвоен номер 1881
[2020-03-31 08:15:07,588] INFO                                                      server               Присвоен номер 2389
[2020-03-31 08:15:07,595] INFO                                                      server               Присвоен номер 2987
[2020-03-31 08:15:07,602] INFO                                                      server               Присвоен номер 3535
[2020-03-31 08:15:07,609] INFO                                                      server               Присвоен номер 4106
[2020-03-31 08:15:07,616] INFO                                                      server               Присвоен номер 4818
[2020-03-31 08:15:07,622] INFO                                                      server               Присвоен номер 5705
[2020-03-31 08:15:07,625] INFO                                                      server               Чтение номера последней заявки  на кран в прошлом году
[2020-03-31 08:15:07,962] INFO                                                      server               Присвоен номер 1578
[2020-03-31 08:15:07,968] INFO                                                      server               Присвоен номер 5282
[2020-03-31 08:15:08,042] INFO                                                      client               casdc1.corp.gidroogk.com
[2020-03-31 08:15:15,947] INFO                                                      server               Пользователь авторизовался в системе: Name: rj128x_pc\rj128x, FullName: rj128x_pc\rj128x
[2020-03-31 08:15:15,982] INFO                                                      service              Получение списка пользователей (LoadUsers)
[2020-03-31 08:15:16,020] INFO                                                      service              Получение списка объектов (LoadOrderObjects)
[2020-03-31 08:15:16,068] INFO                                                      ordersContext        Получение списка заказов (по умолчанию)
[2020-03-31 08:15:16,935] INFO                                                      ordersContext        Возврат списка заказов (по умолчанию) 23
[2020-03-31 08:15:17,180] INFO                                                      client               Главная страница загружена
[2020-03-31 08:15:45,632] INFO                                                      service              Получение списка заказов (GetFilteredOrdersFromXML)
[2020-03-31 08:15:45,644] INFO                                                      ordersContext        Получение списка заказов (фильтр)
[2020-03-31 08:16:04,026] INFO                                                      service              Получение списка заказов (GetFilteredOrdersFromXML)
[2020-03-31 08:16:04,026] INFO                                                      ordersContext        Получение списка заказов (фильтр)
[2020-03-31 08:16:13,110] INFO                                                      service              Получение списка заказов (GetFilteredOrdersFromXML)
[2020-03-31 08:16:13,110] INFO                                                      ordersContext        Получение списка заказов (фильтр)
[2020-03-31 08:16:36,400] INFO                                                      service              Получение списка заказов (GetFilteredOrdersFromXML)
[2020-03-31 08:16:36,400] INFO                                                      ordersContext        Получение списка заказов (по умолчанию)
[2020-03-31 08:16:36,581] INFO                                                      ordersContext        Возврат списка заказов (по умолчанию) 23
[2020-03-31 08:48:21,947] INFO                                                      server               Чтение списка объектов из БД
[2020-03-31 08:48:22,805] INFO                                                      server               Чтение списка объектов из БД завершено. Считано 942
[2020-03-31 08:48:22,805] INFO                                                      server               Чтение номера последней заявки в прошлом году
[2020-03-31 08:48:23,132] INFO                                                      server               Присвоен номер 280
[2020-03-31 08:48:23,143] INFO                                                      server               Присвоен номер 1261
[2020-03-31 08:48:23,156] INFO                                                      server               Присвоен номер 1881
[2020-03-31 08:48:23,168] INFO                                                      server               Присвоен номер 2389
[2020-03-31 08:48:23,185] INFO                                                      server               Присвоен номер 2987
[2020-03-31 08:48:23,203] INFO                                                      server               Присвоен номер 3535
[2020-03-31 08:48:23,235] INFO                                                      server               Присвоен номер 4106
[2020-03-31 08:48:23,277] INFO                                                      server               Присвоен номер 4818
[2020-03-31 08:48:23,343] INFO                                                      server               Присвоен номер 5705
[2020-03-31 08:48:23,343] INFO                                                      server               Чтение номера последней заявки  на кран в прошлом году
[2020-03-31 08:48:23,737] INFO                                                      server               Присвоен номер 1578
[2020-03-31 08:48:23,747] INFO                                                      server               Присвоен номер 5282
[2020-03-31 08:48:23,748] INFO                                                      client               casdc1.corp.gidroogk.com
[2020-03-31 08:48:25,596] INFO                                                      server               Пользователь авторизовался в системе: Name: rj128x_pc\rj128x, FullName: rj128x_pc\rj128x
[2020-03-31 08:48:25,619] INFO                                                      service              Получение списка пользователей (LoadUsers)
[2020-03-31 08:48:25,655] INFO                                                      service              Получение списка объектов (LoadOrderObjects)
[2020-03-31 08:48:25,691] INFO                                                      ordersContext        Получение списка заказов (по умолчанию)
[2020-03-31 08:48:26,105] INFO                                                      ordersContext        Возврат списка заказов (по умолчанию) 23
[2020-03-31 08:48:26,227] INFO                                                      client               Главная страница загружена
[2020-03-31 08:48:34,639] INFO                                                      service              Получение списка заказов (GetFilteredOrdersFromXML)
[2020-03-31 08:48:34,639] INFO                                                      ordersContext        Получение списка заказов (по умолчанию)
[2020-03-31 08:48:34,794] INFO                                                      ordersContext        Возврат списка заказов (по умолчанию) 23
[2020-03-31 08:48:51,463] INFO                                                      service              Получение списка заказов (GetFilteredOrdersFromXML)
[2020-03-31 08:48:51,463] INFO                                                      ordersContext        Получение списка заказов (фильтр)
