[2020-03-26 07:36:46,315] INFO                                                      server               Чтение списка объектов из БД
[2020-03-26 07:36:49,714] INFO                                                      server               Чтение списка объектов из БД завершено. Считано 942
[2020-03-26 07:36:49,732] INFO                                                      server               Чтение номера последней заявки в прошлом году
[2020-03-26 07:36:50,144] INFO                                                      server               Присвоен номер 280
[2020-03-26 07:36:50,154] INFO                                                      server               Присвоен номер 1261
[2020-03-26 07:36:50,164] INFO                                                      server               Присвоен номер 1881
[2020-03-26 07:36:50,168] INFO                                                      server               Присвоен номер 2389
[2020-03-26 07:36:50,173] INFO                                                      server               Присвоен номер 2987
[2020-03-26 07:36:50,177] INFO                                                      server               Присвоен номер 3535
[2020-03-26 07:36:50,182] INFO                                                      server               Присвоен номер 4106
[2020-03-26 07:36:50,186] INFO                                                      server               Присвоен номер 4818
[2020-03-26 07:36:50,191] INFO                                                      server               Присвоен номер 5705
[2020-03-26 07:36:50,193] INFO                                                      server               Чтение номера последней заявки  на кран в прошлом году
[2020-03-26 07:36:50,422] INFO                                                      server               Присвоен номер 1578
[2020-03-26 07:36:50,428] INFO                                                      server               Присвоен номер 5282
[2020-03-26 07:36:50,499] INFO                                                      client               casdc1.corp.gidroogk.com
[2020-03-26 07:52:30,047] INFO                                                      server               Чтение списка объектов из БД
[2020-03-26 07:52:31,921] INFO                                                      server               Чтение списка объектов из БД завершено. Считано 942
[2020-03-26 07:52:31,922] INFO                                                      server               Чтение номера последней заявки в прошлом году
[2020-03-26 07:52:32,089] INFO                                                      server               Присвоен номер 280
[2020-03-26 07:52:32,099] INFO                                                      server               Присвоен номер 1261
[2020-03-26 07:52:32,104] INFO                                                      server               Присвоен номер 1881
[2020-03-26 07:52:32,109] INFO                                                      server               Присвоен номер 2389
[2020-03-26 07:52:32,114] INFO                                                      server               Присвоен номер 2987
[2020-03-26 07:52:32,119] INFO                                                      server               Присвоен номер 3535
[2020-03-26 07:52:32,123] INFO                                                      server               Присвоен номер 4106
[2020-03-26 07:52:32,128] INFO                                                      server               Присвоен номер 4818
[2020-03-26 07:52:32,132] INFO                                                      server               Присвоен номер 5705
[2020-03-26 07:52:32,132] INFO                                                      server               Чтение номера последней заявки  на кран в прошлом году
[2020-03-26 07:52:32,256] INFO                                                      server               Присвоен номер 1578
[2020-03-26 07:52:32,260] INFO                                                      server               Присвоен номер 5282
[2020-03-26 07:52:32,261] INFO                                                      client               casdc1.corp.gidroogk.com
[2020-03-26 08:51:50,976] INFO                                                      server               Чтение списка объектов из БД
[2020-03-26 08:51:51,428] INFO                                                      server               Чтение списка объектов из БД завершено. Считано 942
[2020-03-26 08:51:51,433] INFO                                                      server               Чтение номера последней заявки в прошлом году
[2020-03-26 08:51:51,542] INFO                                                      server               Присвоен номер 280
[2020-03-26 08:51:51,552] INFO                                                      server               Присвоен номер 1261
[2020-03-26 08:51:51,557] INFO                                                      server               Присвоен номер 1881
[2020-03-26 08:51:51,563] INFO                                                      server               Присвоен номер 2389
[2020-03-26 08:51:51,568] INFO                                                      server               Присвоен номер 2987
[2020-03-26 08:51:51,573] INFO                                                      server               Присвоен номер 3535
[2020-03-26 08:51:51,580] INFO                                                      server               Присвоен номер 4106
[2020-03-26 08:51:51,585] INFO                                                      server               Присвоен номер 4818
[2020-03-26 08:51:51,590] INFO                                                      server               Присвоен номер 5705
[2020-03-26 08:51:51,592] INFO                                                      server               Чтение номера последней заявки  на кран в прошлом году
[2020-03-26 08:51:51,697] INFO                                                      server               Присвоен номер 1578
[2020-03-26 08:51:51,701] INFO                                                      server               Присвоен номер 5282
[2020-03-26 08:51:54,510] INFO                                                      client               casdc1.corp.gidroogk.com
[2020-03-26 08:54:34,842] INFO                                                      server               Чтение списка объектов из БД
[2020-03-26 08:54:34,983] INFO                                                      server               Чтение списка объектов из БД завершено. Считано 942
[2020-03-26 08:54:34,985] INFO                                                      server               Чтение номера последней заявки в прошлом году
[2020-03-26 08:54:35,006] INFO                                                      server               Присвоен номер 280
[2020-03-26 08:54:35,010] INFO                                                      server               Присвоен номер 1261
[2020-03-26 08:54:35,015] INFO                                                      server               Присвоен номер 1881
[2020-03-26 08:54:35,020] INFO                                                      server               Присвоен номер 2389
[2020-03-26 08:54:35,024] INFO                                                      server               Присвоен номер 2987
[2020-03-26 08:54:35,029] INFO                                                      server               Присвоен номер 3535
[2020-03-26 08:54:35,034] INFO                                                      server               Присвоен номер 4106
[2020-03-26 08:54:35,038] INFO                                                      server               Присвоен номер 4818
[2020-03-26 08:54:35,043] INFO                                                      server               Присвоен номер 5705
[2020-03-26 08:54:35,044] INFO                                                      server               Чтение номера последней заявки  на кран в прошлом году
[2020-03-26 08:54:35,082] INFO                                                      server               Присвоен номер 1578
[2020-03-26 08:54:35,086] INFO                                                      server               Присвоен номер 5282
[2020-03-26 08:54:35,158] INFO                                                      client               casdc1.corp.gidroogk.com
[2020-03-26 08:59:58,962] INFO                                                      server               Чтение списка объектов из БД
